value1,value2,value3,TimeStamp,resistance
-5.000000E-01,-2.677175E-11,+9.910000E+37,+9.353818E+02,18676403298.252823
-4.900000E-01,-2.668761E-11,+9.910000E+37,+9.363047E+02,18360580059.43582
-4.800000E-01,-2.029341E-11,+9.910000E+37,+9.373184E+02,23652998682.823635
-4.700000E-01,-3.261915E-11,+9.910000E+37,+9.383408E+02,14408713899.657103
-4.600000E-01,-3.165153E-11,+9.910000E+37,+9.393525E+02,14533262689.039045
-4.500000E-01,-2.992678E-11,+9.910000E+37,+9.403662E+02,15036699571.420647
-4.400000E-01,-2.942198E-11,+9.910000E+37,+9.413779E+02,14954805896.815918
