value1,value2,value3,TimeStamp,resistance
-1.000000E-01,-3.043167E-11,+9.910000E+37,+3.012659E+03,3286050354.7784266
+9.000000E-01,-7.674653E-12,+9.910000E+37,+3.013586E+03,-117269145588.73215
+1.900000E+00,-1.407038E-12,+9.910000E+37,+3.014600E+03,-1350354432502.889
+2.900000E+00,-1.491165E-12,+9.910000E+37,+3.015615E+03,-1944788135451.1406
+3.900000E+00,+2.791201E-11,+9.910000E+37,+3.016619E+03,139724799468.0426
+4.900000E+00,+3.556648E-12,+9.910000E+37,+3.017641E+03,1377701701152.321
+5.900000E+00,-7.380211E-12,+9.910000E+37,+3.018710E+03,-799435138101.0652
+6.900000E+00,-2.879318E-12,+9.910000E+37,+3.019752E+03,-2396400814359.5117
+7.900000E+00,-1.394229E-11,+9.910000E+37,+3.020851E+03,-566621408678.2014
+8.900000E+00,-2.753055E-12,+9.910000E+37,+3.021875E+03,-3232772320204.282
+9.900000E+00,+3.043590E-11,+9.910000E+37,+3.022893E+03,325273772091.5104
+1.090000E+01,+5.954275E-12,+9.910000E+37,+3.023898E+03,1830617497512.2915
+1.190000E+01,+2.980499E-11,+9.910000E+37,+3.024916E+03,399262002772.01904
+1.290000E+01,+1.613399E-11,+9.910000E+37,+3.025934E+03,799554233019.8544
+1.390000E+01,+8.646434E-12,+9.910000E+37,+3.026952E+03,1607599155906.354
+1.490000E+01,-6.077847E-13,+9.910000E+37,+3.027972E+03,-24515260091279.03
+1.590000E+01,+3.245504E-11,+9.910000E+37,+3.028979E+03,489908501114.1567
+1.690000E+01,+8.520185E-12,+9.910000E+37,+3.030003E+03,1983525005619.0093
+1.790000E+01,+4.313813E-12,+9.910000E+37,+3.031019E+03,4149461277065.093
+1.890000E+01,+9.151225E-12,+9.910000E+37,+3.032032E+03,2065297268944.868
+1.990000E+01,+6.522907E-14,+9.910000E+37,+3.033047E+03,305078701873259.9
+2.090000E+01,+3.514550E-12,+9.910000E+37,+3.034063E+03,5946707259819.892
+2.190000E+01,-3.821436E-11,+9.910000E+37,+3.035079E+03,-573082998119.0316
+2.290000E+01,-4.395963E-13,+9.910000E+37,+3.036094E+03,-52093250102423.516
+2.390000E+01,+3.821789E-11,+9.910000E+37,+3.037100E+03,625361578046.3024
+2.490000E+01,+1.621574E-12,+9.910000E+37,+3.038121E+03,15355450938409.223
+2.590000E+01,+6.541330E-13,+9.910000E+37,+3.039135E+03,39594394412145.54
+2.690000E+01,-9.735849E-12,+9.910000E+37,+3.040148E+03,-2762984512187.8945
+2.790000E+01,+2.673230E-12,+9.910000E+37,+3.041163E+03,10436812395491.596
+2.890000E+01,+1.512434E-11,+9.910000E+37,+3.042178E+03,1910827183202.705
+2.990000E+01,+7.678913E-12,+9.910000E+37,+3.043191E+03,3893780278536.8184
+3.090000E+01,+3.178020E-12,+9.910000E+37,+3.044209E+03,9723035097324.75
+3.190000E+01,+2.959460E-11,+9.910000E+37,+3.045218E+03,1077899346502.4025
+3.290000E+01,+3.809169E-11,+9.910000E+37,+3.046235E+03,863705443365.7314
+3.390000E+01,+9.151194E-12,+9.910000E+37,+3.047256E+03,3704434634431.31
+3.490000E+01,+2.400001E-11,+9.910000E+37,+3.048265E+03,1454166060764.1414
+3.590000E+01,+4.541095E-11,+9.910000E+37,+3.049275E+03,790558224393.0153
+3.690000E+01,+5.812318E-10,+9.910000E+37,+3.050298E+03,63485858826.0312
+3.790000E+01,-2.197668E-11,+9.910000E+37,+3.051312E+03,-1724555301346.7002
+3.890000E+01,+7.931312E-12,+9.910000E+37,+3.052327E+03,4904610989959.795
+3.990000E+01,+6.332875E-12,+9.910000E+37,+3.053347E+03,6300455954049.306
+4.090000E+01,-1.882184E-11,+9.910000E+37,+3.054361E+03,-2173007527425.5864
+4.190000E+01,+9.445642E-12,+9.910000E+37,+3.055378E+03,4435908115086.301
+4.290000E+01,+6.122547E-12,+9.910000E+37,+3.056404E+03,7006887819726.006
+4.390000E+01,+2.084326E-12,+9.910000E+37,+3.057419E+03,21061964395204.973
+4.490000E+01,+5.197103E-12,+9.910000E+37,+3.058441E+03,8639428543171.069
+4.590000E+01,+1.663666E-12,+9.910000E+37,+3.059455E+03,27589672446272.266
+4.690000E+01,+3.279151E-11,+9.910000E+37,+3.060460E+03,1430248256332.203
+4.790000E+01,+3.110895E-11,+9.910000E+37,+3.061476E+03,1539749814763.9185
+4.890000E+01,-1.451304E-13,+9.910000E+37,+3.062499E+03,-336938367151196.4
+4.990000E+01,-1.617387E-12,+9.910000E+37,+3.063514E+03,-30852232644382.574
+5.090000E+01,+3.051809E-12,+9.910000E+37,+3.064541E+03,16678632247299.88
+5.190000E+01,+2.383168E-11,+9.910000E+37,+3.065551E+03,2177773451137.3096
+5.290000E+01,-3.468219E-12,+9.910000E+37,+3.066573E+03,-15252785363323.365
+5.390000E+01,+8.478128E-12,+9.910000E+37,+3.067590E+03,6357535531428.637
+5.490000E+01,-1.743578E-12,+9.910000E+37,+3.068611E+03,-31486976779931.84
+5.590000E+01,-7.254026E-12,+9.910000E+37,+3.069627E+03,-7706065569657.456
+5.690000E+01,-2.416622E-12,+9.910000E+37,+3.070643E+03,-23545262767615.29
+5.790000E+01,-2.206291E-12,+9.910000E+37,+3.071657E+03,-26243138371139.617
+5.890000E+01,+3.434789E-11,+9.910000E+37,+3.072664E+03,1714806935738.993
+5.990000E+01,+1.789867E-12,+9.910000E+37,+3.073687E+03,33466173743635.7
+6.090000E+01,+7.468585E-12,+9.910000E+37,+3.074702E+03,8154155037399.989
+6.190000E+01,+3.018348E-11,+9.910000E+37,+3.075711E+03,2050790697427.8645
+6.290000E+01,+1.495605E-11,+9.910000E+37,+3.076738E+03,4205655905135.38
+6.390000E+01,+4.141475E-11,+9.910000E+37,+3.077748E+03,1542928545989.0498
+6.490000E+01,+5.701859E-12,+9.910000E+37,+3.078771E+03,11382252700391.225
+6.590000E+01,-4.225361E-12,+9.910000E+37,+3.079784E+03,-15596300529114.555
+6.690000E+01,-8.181511E-13,+9.910000E+37,+3.080805E+03,-81769736666002.16
+6.790000E+01,-5.237408E-13,+9.910000E+37,+3.081820E+03,-129644282057078.62
+6.890000E+01,+1.230599E-11,+9.910000E+37,+3.082834E+03,5598899397772.955
+6.990000E+01,+2.252535E-12,+9.910000E+37,+3.083849E+03,31031704279844.71
+7.090000E+01,+3.910119E-11,+9.910000E+37,+3.084856E+03,1813244047048.1846
+7.190000E+01,+1.314729E-11,+9.910000E+37,+3.085880E+03,5468807640205.7
+7.290000E+01,+1.159091E-11,+9.910000E+37,+3.086896E+03,6289411271418.724
+7.390000E+01,+4.187529E-12,+9.910000E+37,+3.087910E+03,17647638977544.992
+7.490000E+01,+3.464236E-11,+9.910000E+37,+3.088922E+03,2162092882817.4524
+7.590000E+01,+3.253905E-11,+9.910000E+37,+3.089937E+03,2332581928482.854
+7.690000E+01,+5.575641E-12,+9.910000E+37,+3.090959E+03,13792136186673.426
+7.790000E+01,+7.132069E-12,+9.910000E+37,+3.091975E+03,10922496683641.172
+7.890000E+01,+3.443202E-11,+9.910000E+37,+3.092987E+03,2291471717314.2905
+7.990000E+01,+9.698010E-12,+9.910000E+37,+3.094008E+03,8238803630847.9795
+8.090000E+01,+3.177982E-12,+9.910000E+37,+3.095053E+03,25456405983419.668
+8.190000E+01,+3.682969E-11,+9.910000E+37,+3.096069E+03,2223749371770.4385
+8.290000E+01,+1.095992E-11,+9.910000E+37,+3.097092E+03,7563923824261.492
+8.390000E+01,+8.856693E-12,+9.910000E+37,+3.098105E+03,9473061785025.18
+8.490000E+01,+3.258115E-11,+9.910000E+37,+3.099112E+03,2605801207139.7114
+8.590000E+01,+1.583943E-11,+9.910000E+37,+3.100141E+03,5423174950108.685
+8.690000E+01,+3.977194E-12,+9.910000E+37,+3.101156E+03,21849575353880.15
+8.790000E+01,+8.099542E-12,+9.910000E+37,+3.102169E+03,10852465485085.453
+8.890000E+01,+3.729241E-11,+9.910000E+37,+3.103176E+03,2383863097075.2495
+8.990000E+01,+3.746063E-11,+9.910000E+37,+3.104191E+03,2399852858854.7495
+9.090000E+01,+5.323242E-12,+9.910000E+37,+3.105211E+03,17076060040103.383
