value1,value2,value3,TimeStamp,resistance
-5.000000E-01,-2.807554E-11,+9.910000E+37,+7.767285E+01,17809096459.05297
-4.900000E-01,-2.984249E-11,+9.910000E+37,+7.860352E+01,16419541398.857803
-4.800000E-01,-2.719207E-11,+9.910000E+37,+7.961914E+01,17652205220.124836
-4.700000E-01,-2.891695E-11,+9.910000E+37,+8.063379E+01,16253443049.837551
-4.600000E-01,-3.064183E-11,+9.910000E+37,+8.164941E+01,15012158216.398956
-4.500000E-01,-3.072597E-11,+9.910000E+37,+8.266602E+01,14645591335.277617
-4.400000E-01,-6.888790E-11,+9.910000E+37,+8.368262E+01,6387188461.253718
-4.300000E-01,-2.416302E-11,+9.910000E+37,+8.469531E+01,17795788771.436684
-4.200000E-01,-3.257713E-11,+9.910000E+37,+8.571289E+01,12892480092.629398
-4.100000E-01,-3.346070E-11,+9.910000E+37,+8.672168E+01,12253180596.939096
