value1,value2,value3,TimeStamp,resistance
-1.000000E-01,-2.621501E-10,+9.910000E+37,+3.140492E+03,381460850.1007629
+9.000000E-01,-7.115474E-11,+9.910000E+37,+3.141419E+03,-12648489756.269224
+1.900000E+00,-4.906827E-11,+9.910000E+37,+3.142430E+03,-38721560796.8245
+2.900000E+00,-4.057025E-11,+9.910000E+37,+3.143453E+03,-71480949710.68703
+3.900000E+00,-3.956058E-11,+9.910000E+37,+3.144467E+03,-98582983363.74239
+4.900000E+00,-3.657365E-11,+9.910000E+37,+3.145479E+03,-133976236990.29219
+5.900000E+00,-4.936276E-11,+9.910000E+37,+3.146520E+03,-119523300560.9897
+6.900000E+00,-3.547984E-11,+9.910000E+37,+3.147587E+03,-194476638000.6223
+7.900000E+00,-2.386959E-11,+9.910000E+37,+3.148603E+03,-330965047996.2161
+8.900000E+00,-3.447017E-11,+9.910000E+37,+3.149618E+03,-258194258978.12515
+9.900000E+00,-3.034755E-11,+9.910000E+37,+3.150634E+03,-326220732810.39166
+1.090000E+01,+3.093779E-12,+9.910000E+37,+3.151644E+03,3523199297687.3916
